State,County,PK thru 12th Students 2009-10,PK thru 12th Students 2008-09,PK thru 12th Students 2007-08,PK thru 12th Students 2006-07,PK thru 12th Students 2005-06,Male Students [Public School] 2012-13,Male Students [Public School] 2011-12,Male Students [Public School] 2010-11,Male Students [Public School] 2009-10,Male Students [Public School] 2008-09,Male Students [Public School] 2007-08,Male Students [Public School] 2006-07,Male Students [Public School] 2005-06,Female Students [Public School] 2012-13,Female Students [Public School] 2011-12,Female Students [Public School] 2010-11,Female Students [Public School] 2009-10,Female Students [Public School] 2008-09,Female Students [Public School] 2007-08,Female Students [Public School] 2006-07,Female Students [Public School] 2005-06,American Indian/Alaska Native Students [Public School] 2012-13,American Indian/Alaska Native Students [Public School] 2011-12,American Indian/Alaska Native Students [Public School] 2010-11,American Indian/Alaska Native Students [Public School] 2009-10,American Indian/Alaska Native Students [Public School] 2008-09,American Indian/Alaska Native Students [Public School] 2007-08,American Indian/Alaska Native Students [Public School] 2006-07,American Indian/Alaska Native Students [Public School] 2005-06,Asian or Asian/Pacific Islander Students [Public School] 2012-13,Asian or Asian/Pacific Islander Students [Public School] 2011-12,Asian or Asian/Pacific Islander Students [Public School] 2010-11,Asian or Asian/Pacific Islander Students [Public School] 2009-10,Asian or Asian/Pacific Islander Students [Public School] 2008-09,Asian or Asian/Pacific Islander Students [Public School] 2007-08,Asian or Asian/Pacific Islander Students [Public School] 2006-07,Asian or Asian/Pacific Islander Students [Public School] 2005-06,Hispanic Students [Public School] 2012-13,Hispanic Students [Public School] 2011-12,Hispanic Students [Public School] 2010-11,Hispanic Students [Public School] 2009-10,Hispanic Students [Public School] 2008-09,Hispanic Students [Public School] 2007-08,Hispanic Students [Public School] 2006-07,Hispanic Students [Public School] 2005-06,Black Students [Public School] 2012-13,Black Students [Public School] 2011-12,Black Students [Public School] 2010-11,Black Students [Public School] 2009-10,Black Students [Public School] 2008-09,Black Students [Public School] 2007-08,Black Students [Public School] 2006-07,Black Students [Public School] 2005-06,White Students [Public School] 2012-13,White Students [Public School] 2011-12,White Students [Public School] 2010-11,White Students [Public School] 2009-10,White Students [Public School] 2008-09,White Students [Public School] 2007-08,White Students [Public School] 2006-07,White Students [Public School] 2005-06,Hawaiian Nat./Pacific Isl. Students [Public School] 2012-13,Hawaiian Nat./Pacific Isl. Students [Public School] 2011-12,Hawaiian Nat./Pacific Isl. Students [Public School] 2010-11,Hawaiian Nat./Pacific Isl. Students [Public School] 2009-10,Hawaiian Nat./Pacific Isl. Students [Public School] 2008-09,Two or More Races Students [Public School] 2012-13,Two or More Races Students [Public School] 2011-12,Two or More Races Students [Public School] 2010-11,Two or More Races Students [Public School] 2009-10,Two or More Races Students [Public School] 2008-09
MISSOURI,ST. LOUIS CITY,35957,36726,35418,38348,40924,20460,18429,18329,18493,18962,17975,19814,20707,20449,18089,17576,17849,18182,17255,18977,19636,73,79,83,109,118,82,129,101,777,794,772,743,704,645,687,651,1414,1315,1214,1132,1046,958,954,896,33591,29395,29141,29993,30799,29176,31866,33056,4845,4780,4602,4365,4477,4369,5155,5639,5,2,7,†,†,204,153,86,†,†
MISSOURI,ST. LOUIS COUNTY,146997,148819,147887,149179,149922,71615,74545,75489,75566,76499,75621,76379,76335,66792,69593,70972,71032,72169,72052,72641,72547,230,261,279,271,260,316,193,182,6098,5987,5807,5838,5598,5303,4988,4771,4935,4663,4195,3470,3271,3085,2738,2557,48088,53479,55292,56795,58063,58630,59640,58195,75727,76755,78456,80224,81476,80339,81461,83177,84,82,38,†,†,3245,2911,2394,†,†
MINNESOTA,ST. LOUIS COUNTY,25339,25553,25993,26589,26932,13024,13036,13047,13275,13174,13588,13818,13984,12077,12121,12127,12233,12179,12621,12771,12948,952,921,971,1273,1217,1227,1236,1261,284,288,296,367,351,358,365,339,444,433,388,318,294,279,269,239,820,858,847,1079,979,993,891,804,21521,21712,21954,22471,22512,23352,23828,24289,17,16,15,†,†,1063,929,703,†,†
FLORIDA,ST. LUCIE COUNTY,39013,38839,40347,38793,36201,21293,21132,21017,19834,19643,19845,18992,18455,19785,19765,19730,18723,18446,18884,18244,17746,154,164,173,177,124,132,126,128,706,701,696,744,693,706,658,542,10718,10359,9957,8177,8947,9011,8178,6864,12064,12022,11906,11964,11734,11788,11084,10499,15957,16216,16644,17495,16591,17092,17190,18168,69,63,68,†,†,1410,1372,1303,†,†
LOUISIANA,ST. MARTIN PARISH,8405,8404,8475,8582,8694,4345,4419,4426,4373,4365,4386,4452,4445,4002,3994,4077,4032,4039,4089,4130,4249,32,28,27,21,18,13,13,14,103,96,101,102,97,102,108,108,119,126,74,84,68,65,47,50,3742,3823,3897,3911,3958,4015,4083,4145,4203,4208,4272,4287,4263,4280,4331,4377,0,0,1,†,†,148,132,131,†,†
LOUISIANA,ST. MARY PARISH,9907,9902,10171,10206,10563,2644,4981,5009,5046,4998,5165,5223,5410,2566,4825,4825,4861,4904,5006,5148,5326,44,71,75,79,76,67,72,80,105,155,155,154,148,168,187,199,388,554,432,418,380,352,284,262,2201,4145,4211,4415,4428,4577,4662,4823,2308,4609,4740,4841,4870,5007,5166,5372,0,2,4,†,†,164,270,217,†,†
MARYLAND,ST. MARY'S COUNTY,17186,16752,16890,16665,16649,8906,8890,8772,8754,8530,8563,8452,8419,8547,8559,8499,8432,8222,8327,8213,8230,72,74,77,101,95,93,98,115,443,441,479,527,490,477,420,423,978,868,760,1186,553,496,435,396,3250,3234,3367,3502,3521,3476,3313,3211,11927,12199,12129,11870,12093,12348,12399,12504,38,33,26,†,†,745,600,433,†,†
LOUISIANA,ST. TAMMANY PARISH,36021,35490,35170,34857,34408,19292,19090,18880,18575,18330,18129,18048,17704,18216,18089,17861,17560,17289,17164,16921,16792,140,162,137,148,134,131,126,160,553,585,546,569,560,522,522,451,1627,1457,1257,1226,1110,1004,880,804,7146,7111,7087,7027,6853,6587,6138,5500,27594,27668,27587,27165,26962,27049,27303,27581,13,13,9,†,†,435,183,118,†,†
KANSAS,STAFFORD COUNTY,822,899,906,951,946,449,447,480,456,491,494,519,513,423,396,420,442,473,479,497,508,4,1,2,7,5,4,7,9,0,0,2,3,5,5,5,9,253,220,209,192,178,194,186,174,7,5,6,6,11,8,13,10,599,609,674,684,765,762,805,819,0,0,0,0,†,9,8,7,6,†
VIRGINIA,STAFFORD COUNTY,27060,26850,26582,26508,26178,14058,13958,13974,13421,13382,13282,13280,13243,13405,13338,13249,12596,12516,12452,12541,12433,117,113,108,103,107,105,100,91,747,759,755,902,843,781,753,739,4014,3710,3438,2495,2401,2352,2288,1835,5041,4988,4950,5609,5531,5489,5375,5190,15633,15860,16197,16908,17016,17007,17305,17821,60,51,40,†,†,1851,1815,1735,†,†
CALIFORNIA,STANISLAUS COUNTY,104932,105052,107004,105958,105733,54035,53705,53727,53937,54092,53226,52761,53063,51293,50991,50917,50963,51312,50065,50106,50527,626,688,752,789,851,900,937,988,5202,5320,5424,5319,5673,6585,6506,6540,58890,57551,56399,52917,52543,52920,51797,50257,3234,3337,3551,3475,3923,4134,4045,4245,32479,33417,34957,34851,37434,38752,39582,41560,808,823,836,808,904,4089,3560,2725,6741,4076
SOUTH DAKOTA,STANLEY COUNTY,481,481,493,505,532,252,239,256,279,273,276,280,287,194,185,195,202,208,217,225,245,96,82,80,80,81,80,69,91,1,0,1,2,1,1,0,0,7,6,2,1,1,3,4,2,1,2,6,3,3,3,1,2,338,331,361,395,395,406,431,437,0,0,0,†,†,3,3,1,†,†
NORTH CAROLINA,STANLY COUNTY,9744,9918,9917,10142,9802,4720,4854,4916,5020,5021,5022,5133,5065,4441,4568,4681,4717,4646,4652,4776,4737,22,24,26,25,28,33,21,25,292,308,324,348,362,370,397,396,613,612,597,516,485,504,504,415,1136,1195,1230,1561,1580,1392,1436,1581,6786,6983,7144,7287,7212,7375,7551,7385,3,3,3,†,†,309,297,273,†,†
NEBRASKA,STANTON COUNTY,468,449,442,446,438,374,350,361,382,370,357,354,388,364,375,398,416,383,375,364,371,5,6,3,3,1,1,2,4,0,0,0,3,5,6,5,7,57,53,56,43,39,35,45,56,7,6,2,12,16,13,5,10,643,629,666,737,692,677,661,682,0,0,0,†,†,26,31,32,†,†
KANSAS,STANTON COUNTY,495,453,466,473,457,253,260,276,260,235,231,236,247,218,220,232,235,219,237,214,230,18,22,31,9,4,3,0,0,0,0,0,0,1,1,2,0,213,210,214,229,211,203,186,198,1,1,3,5,3,4,4,2,231,236,247,238,235,257,258,277,0,3,0,0,†,8,8,13,14,†
ILLINOIS,STARK COUNTY,1183,956,1141,1292,1139,491,503,521,574,592,420,647,570,500,506,549,586,597,423,639,569,9,14,11,0,1,0,0,1,9,15,14,16,13,7,9,6,22,6,19,12,7,7,3,1,5,3,5,6,6,4,2,2,929,951,1001,1126,1162,825,1272,1129,0,0,0,†,†,17,20,20,†,†
OHIO,STARK COUNTY,59764,61406,62254,62914,62515,29942,30301,30245,29133,30097,31195,31751,31554,27898,28230,27987,27002,27824,28944,29308,29417,78,80,83,90,84,77,75,79,485,510,492,486,486,488,458,450,1145,1024,813,597,568,536,494,467,6168,6276,6138,6488,6557,6753,6944,6901,46423,47156,47501,48474,50226,52285,53088,53074,22,17,8,†,†,3519,3468,3197,†,†
NORTH DAKOTA,STARK COUNTY,3275,3210,3232,3338,3358,1869,1786,1744,1703,1654,1651,1717,1743,1751,1677,1592,1572,1556,1581,1621,1615,58,55,60,56,58,64,63,58,19,14,20,19,19,19,21,15,149,109,0,59,38,28,28,21,39,40,41,47,32,35,29,26,3286,3187,3114,3094,3063,3086,3197,3238,3,1,2,†,†,66,57,99,†,†
INDIANA,STARKE COUNTY,4058,4093,4202,4219,4179,1910,1954,2014,2030,2039,2127,2158,2167,1881,1919,1977,1974,2011,2044,2018,2012,16,14,15,9,10,12,11,10,4,6,8,8,14,13,13,3,187,188,158,131,132,132,127,116,8,6,8,14,15,5,7,9,3517,3604,3747,3842,3879,4009,4018,4041,6,1,0,†,†,53,54,55,†,†
TEXAS,STARR COUNTY,17026,16683,16527,16645,16421,9005,9101,9052,8671,8532,8477,8583,8418,8772,8803,8764,8506,8327,8262,8256,8097,2,1,2,3,1,2,2,2,21,23,23,25,23,25,28,29,17686,17796,17753,17126,16799,16673,16779,16448,4,4,3,0,2,5,4,4,63,78,32,23,34,34,26,32,0,0,0,†,†,1,2,3,†,†
VIRGINIA,STAUNTON CITY,2853,2866,‡,‡,2755,1405,1415,1399,1250,1291,1394,1355,1405,1401,1374,1377,1251,1279,1355,1321,1347,10,7,9,6,5,6,6,4,23,25,25,34,33,35,37,32,150,132,122,50,64,52,40,57,494,486,507,614,631,668,630,676,1859,1900,1895,1797,1837,1988,1963,1983,1,0,0,†,†,269,239,218,†,†
MISSOURI,STE. GENEVIEVE COUNTY,2037,2023,2000,2000,2029,951,975,988,1027,1025,1024,1009,1033,934,940,970,1010,998,976,991,996,4,5,3,4,5,2,2,3,8,6,4,7,7,6,4,4,27,24,27,23,19,16,11,14,15,12,13,33,32,26,30,26,1793,1837,1881,1970,1960,1950,1953,1982,0,1,1,†,†,38,30,29,†,†
MINNESOTA,STEARNS COUNTY,23064,23008,23144,23158,22936,11575,11564,11259,11466,11387,11466,11263,11162,10885,10810,10450,10591,10493,10678,10540,10408,101,104,96,143,120,142,127,119,425,415,406,483,486,476,456,450,1147,1078,978,879,820,766,718,642,1522,1403,1320,1347,1262,1123,1013,780,18653,18830,18436,19205,19192,19637,19489,19579,32,29,25,†,†,580,515,448,†,†
MINNESOTA,STEELE COUNTY,6479,6497,6499,6578,6484,3547,3584,3619,3594,3554,3582,3616,3547,3411,3397,3378,3348,3393,3370,3396,3360,7,6,8,23,13,7,12,14,77,70,84,103,93,96,74,70,760,686,682,627,624,612,617,545,359,337,343,345,319,318,311,274,5652,5809,5817,5844,5898,5919,5998,6004,3,1,2,†,†,100,72,61,†,†
NORTH DAKOTA,STEELE COUNTY,261,278,285,291,306,112,119,122,122,133,136,135,141,109,114,120,139,145,149,156,165,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,4,2,2,3,1,3,4,0,0,0,0,0,1,1,1,211,228,237,259,274,283,286,301,1,0,0,†,†,1,0,2,†,†
TEXAS,STEPHENS COUNTY,1581,1540,1587,1659,1667,755,777,792,817,780,831,863,859,705,723,769,764,760,756,796,808,25,27,26,14,7,8,11,10,5,4,7,5,2,3,4,5,494,510,526,521,535,518,515,481,24,22,24,38,41,45,41,38,891,915,954,1003,955,1013,1088,1133,2,2,2,†,†,19,20,22,†,†
OKLAHOMA,STEPHENS COUNTY,8255,8171,8167,8230,8089,4225,4210,4289,4288,4165,4264,4251,4168,4031,3992,4032,3975,4018,3944,4006,3955,583,672,743,885,900,914,948,906,28,43,44,75,116,68,68,47,873,821,767,714,693,617,581,552,248,258,307,329,296,296,314,310,6034,6035,6166,6260,6178,6313,6346,6308,7,12,5,†,†,483,361,289,†,†
†,STEPHENS COUNTY,4121,†,4227,4256,4306,2066,2069,2090,2091,2052,2085,2115,2136,1995,1971,1985,2030,1980,1986,1987,2029,2,6,4,4,5,6,8,7,29,33,29,26,34,34,30,24,151,140,140,127,109,101,89,82,511,493,523,581,594,625,657,674,3133,3153,3156,3236,3290,3305,3318,3378,5,5,6,7,†,230,210,217,140,†
ILLINOIS,STEPHENSON COUNTY,7127,7172,7175,7268,7433,3416,3459,3479,3303,3344,3519,3594,3764,3405,3351,3374,3222,3465,3426,3506,3620,13,13,8,3,6,7,18,7,50,60,54,65,54,57,70,74,418,404,374,258,240,236,219,239,1025,1008,1017,1019,1039,1020,1048,1128,4760,4804,4915,5180,5470,5625,5745,5936,7,8,9,†,†,548,513,476,†,†
TEXAS,STERLING COUNTY,200,201,196,211,242,144,127,121,114,107,104,111,119,116,105,95,82,92,90,97,120,0,2,2,3,3,2,0,0,0,0,0,0,0,0,0,0,133,110,106,84,91,92,95,102,4,3,2,0,4,4,4,4,113,111,102,109,101,96,109,133,0,0,0,†,†,10,6,4,†,†
NEW YORK,STEUBEN COUNTY,16406,16741,17099,17407,18172,7824,7953,8280,8319,8517,8677,8968,9387,7544,7691,7934,7955,8117,8401,8660,8957,37,39,45,37,34,46,42,47,227,216,248,222,229,221,199,201,222,197,465,168,151,268,125,111,315,344,411,395,412,460,463,461,14360,14676,14970,15452,15808,16083,16799,17524,8,14,0,†,†,199,158,75,†,†
INDIANA,STEUBEN COUNTY,4142,4311,4243,4225,4824,2072,2105,2129,2024,2409,2363,2394,2485,2033,1999,2048,1976,2310,2334,2320,2339,16,14,15,25,24,23,22,21,29,34,31,53,51,58,53,49,266,264,217,152,144,150,145,123,25,18,18,16,15,14,15,14,3643,3635,3762,3754,4485,4452,4479,4617,2,2,2,†,†,124,137,132,†,†
MINNESOTA,STEVENS COUNTY,1472,1369,1348,1366,1429,793,777,756,788,738,721,708,747,687,681,655,701,659,649,658,682,18,16,14,19,19,21,29,17,15,16,18,22,24,24,24,21,75,60,44,47,40,34,26,22,13,14,9,18,13,13,14,25,1336,1332,1303,1383,1301,1278,1273,1344,2,2,2,†,†,21,18,21,†,†
KANSAS,STEVENS COUNTY,1263,1219,1261,1240,1231,681,691,669,676,670,682,687,690,663,694,679,653,614,641,612,650,4,1,3,3,4,2,3,2,2,2,2,2,4,8,5,4,624,633,606,567,545,559,564,543,8,12,12,11,8,7,7,8,688,722,707,726,723,747,720,783,0,0,0,0,†,18,15,18,20,†
WASHINGTON,STEVENS COUNTY,7955,6860,6541,6434,6294,4069,4598,4753,4697,4184,4116,3247,3200,3731,4401,4626,4498,3956,3887,3066,3047,469,454,576,745,747,670,711,710,48,62,91,163,110,119,104,95,391,417,353,228,181,179,142,125,44,43,62,65,64,80,62,53,6479,7582,7966,7994,7038,6955,5294,5264,19,15,19,†,†,350,426,312,†,†
GEORGIA,STEWART COUNTY,540,609,656,715,704,299,290,298,292,332,357,370,370,264,256,250,248,273,293,333,323,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,4,6,6,0,2,6,2,503,500,502,512,581,627,671,658,51,36,31,18,23,20,25,33,1,0,1,0,†,2,5,7,3,†
TENNESSEE,STEWART COUNTY,2283,2330,2213,2285,2095,1157,1173,1119,1186,1190,1145,1167,1084,1059,1105,1043,1097,1140,1117,1136,1021,6,7,4,6,4,8,12,‡,4,6,7,10,10,11,10,‡,47,49,56,46,35,37,38,‡,43,35,39,38,31,34,29,‡,2070,2163,2044,2183,2250,2172,2214,‡,4,5,4,†,†,42,13,8,†,†
MONTANA,STILLWATER COUNTY,1434,1413,1467,1488,1457,765,771,772,787,774,795,792,776,670,654,641,647,639,672,697,682,29,21,24,21,18,16,12,14,5,4,4,15,19,17,20,20,42,47,46,49,34,34,29,26,6,5,4,6,5,4,9,7,1332,1333,1322,1343,1337,1396,1419,1391,3,6,4,†,†,18,9,9,†,†
MISSOURI,STODDARD COUNTY,5166,5270,5274,5397,5398,2617,2616,2649,2694,2760,2746,2811,2840,2500,2472,2483,2480,2517,2536,2594,2560,8,5,5,5,3,15,14,11,16,19,15,10,14,11,14,11,63,48,54,46,35,39,37,45,86,70,83,87,89,94,102,154,4928,4931,4965,5026,5136,5123,5238,5179,1,3,0,†,†,15,12,10,†,†
NORTH CAROLINA,STOKES COUNTY,7130,7431,7356,7404,7500,3468,3568,3576,3599,3683,3707,3718,3829,3381,3432,3508,3525,3532,3449,3506,3671,14,17,23,21,23,24,22,19,23,21,20,21,17,19,17,15,318,329,318,213,209,201,161,144,246,266,248,463,478,307,331,505,5981,6090,6148,6406,6488,6605,6693,6817,5,5,5,†,†,262,272,322,†,†
MISSOURI,STONE COUNTY,4410,4431,4475,4458,4415,2112,2197,2264,2265,2276,2307,2288,2296,2019,2133,2103,2145,2155,2168,2170,2119,29,31,29,36,31,31,28,31,22,22,21,18,21,21,24,18,104,88,90,80,78,72,67,58,30,35,33,40,31,38,40,35,3884,4096,4151,4236,4270,4313,4299,4273,0,0,1,†,†,62,58,42,†,†
MISSISSIPPI,STONE COUNTY,2821,2726,2799,2674,2614,1368,1373,1424,1475,1449,1443,1440,1410,1371,1373,1395,1416,1356,1448,1363,1338,7,5,4,6,3,5,6,6,8,11,12,13,13,12,12,8,31,40,39,32,19,14,11,8,652,651,676,694,697,701,684,667,2014,2013,2069,2124,2073,2159,2090,2059,0,0,0,0,0,27,26,19,22,0
ARKANSAS,STONE COUNTY,1738,1713,1714,1702,1758,883,913,908,902,944,949,867,887,871,886,858,836,877,890,835,871,8,8,11,6,7,11,13,12,8,6,6,8,8,6,5,5,34,44,35,25,30,18,33,20,6,11,7,7,8,3,4,7,1690,1723,1698,1683,1768,1801,1647,1714,1,1,2,7,†,7,6,7,2,†
TEXAS,STONEWALL COUNTY,238,231,260,242,243,115,113,108,113,105,124,118,121,138,144,132,125,126,136,124,122,0,0,0,1,1,2,1,0,3,3,0,3,0,0,0,0,66,63,68,61,58,53,41,41,9,9,7,13,12,17,14,13,171,179,163,160,160,188,186,189,0,0,0,†,†,4,3,2,†,†
NEVADA,STOREY COUNTY,447,435,427,453,450,238,233,249,252,232,228,209,201,178,176,178,195,203,199,185,190,7,5,6,6,5,7,6,8,11,9,9,9,9,15,9,7,47,41,39,30,33,27,18,22,4,7,4,12,9,6,5,3,325,327,347,390,379,372,356,351,7,5,2,†,†,15,15,20,†,†
IOWA,STORY COUNTY,10716,10872,10794,10541,10544,5702,5610,5557,5601,5526,5500,5392,5388,5402,5358,5358,5323,5344,5286,5140,5156,26,34,23,24,31,31,39,38,456,438,435,478,508,498,471,484,564,513,483,480,375,315,296,270,437,454,500,510,546,529,459,423,9243,9204,9180,9177,9410,9413,9267,9329,9,10,11,4,†,369,315,283,251,†
NEW HAMPSHIRE,STRAFFORD COUNTY,16148,14917,13961,13933,16493,8239,8401,8410,8461,8564,8701,8670,8639,7692,7727,7869,7909,7982,8121,8090,8073,45,39,56,43,53,53,53,63,575,559,564,527,524,510,459,400,337,304,318,300,271,262,212,232,282,293,353,367,353,308,300,298,14279,14580,14703,15060,15345,15689,15736,15719,14,13,16,10,†,399,340,269,63,†
NORTH DAKOTA,STUTSMAN COUNTY,2632,2649,2647,2758,2840,1352,1355,1367,1396,1392,1387,1437,1443,1253,1258,1259,1246,1269,1277,1321,1397,44,54,54,67,61,66,58,53,17,16,18,26,22,29,34,33,56,57,1,62,33,29,27,25,23,34,32,26,12,13,15,16,2409,2413,2430,2461,2533,2527,2624,2713,13,9,6,†,†,43,30,85,†,†
WYOMING,SUBLETTE COUNTY,1653,1680,1620,1487,1401,806,878,867,845,834,802,735,671,770,814,825,808,762,727,668,626,19,21,23,23,35,26,20,19,11,14,17,10,4,6,6,10,180,194,175,172,124,104,85,41,6,8,5,7,7,7,10,9,1343,1442,1458,1426,1426,1386,1282,1218,3,3,0,0,†,14,10,14,15,†
VIRGINIA,SUFFOLK CITY,14408,14093,14026,13987,13852,7447,7446,7446,7165,7065,7086,7109,7083,6974,6974,7061,6923,6766,6721,6696,6650,22,21,22,16,23,26,28,22,214,211,201,214,186,180,153,133,604,595,565,309,274,252,255,224,7968,7949,8019,8260,8179,8127,8055,7947,4963,5035,5102,5289,5169,5222,5314,5407,21,17,9,†,†,629,592,589,†,†
NEW YORK,SUFFOLK COUNTY,255244,256377,257438,258882,259716,127320,129085,131067,131046,132187,132932,134103,137964,120787,122162,123415,123682,124855,125511,127132,129818,618,612,880,600,649,675,629,607,9661,9712,9865,9727,9556,9239,8865,8492,54953,52239,46993,45464,43601,41698,40158,39560,21421,22301,23614,23795,24105,24257,24533,25856,158349,163950,171722,175142,179131,182574,187050,193267,239,239,0,†,†,2866,2194,1408,†,†
MASSACHUSETTS,SUFFOLK COUNTY,74593,74970,74686,74781,75480,39923,39066,38705,38291,38459,37613,37649,38016,37958,37314,36933,36469,36665,35860,35946,36317,256,263,273,292,297,327,350,371,5418,5310,5368,5416,5448,5460,5543,5843,32535,33324,31799,30638,29717,28550,27247,26195,24836,23224,23881,24111,25147,25918,26863,28079,13052,12694,12848,12878,13141,13218,13592,13845,105,123,79,73,68,1679,1442,1390,1352,1306
INDIANA,SULLIVAN COUNTY,3353,3377,3411,3434,3374,1681,1738,1738,1734,1728,1745,1749,1746,1517,1551,1565,1560,1589,1616,1640,1628,20,18,18,9,8,5,5,5,4,4,8,7,5,3,9,7,75,58,55,21,23,19,15,11,11,10,9,4,4,3,4,1,3026,3147,3157,3253,3277,3331,3356,3350,0,2,2,†,†,62,50,54,†,†
NEW YORK,SULLIVAN COUNTY,10217,10377,10718,10842,10968,5070,5171,5150,5109,5196,5416,5454,5739,4772,4824,4951,4919,5073,5285,5341,5502,20,22,137,18,25,30,20,40,133,135,158,154,164,171,163,171,2094,1982,1114,1589,1642,1681,1662,1685,1101,1177,1377,1255,1265,1366,1427,1448,6287,6531,7280,7012,7173,7453,7523,7897,1,4,0,†,†,206,144,35,†,†
NEW HAMPSHIRE,SULLIVAN COUNTY,6560,6581,6365,6518,6729,2748,2828,2871,2902,2599,2775,3111,3170,2553,2667,2758,2800,2446,2575,2969,3105,17,23,18,17,9,16,20,21,45,50,62,54,43,52,51,44,66,74,59,57,55,45,46,39,33,30,37,41,46,50,57,62,5003,5149,5325,5432,4892,5187,5906,6109,8,4,6,5,†,129,165,122,96,†
MISSOURI,SULLIVAN COUNTY,1107,1164,1129,1146,1146,588,600,622,616,642,623,640,645,569,574,598,576,616,595,607,597,5,5,7,5,4,7,7,7,5,5,4,4,4,4,4,5,269,274,285,274,305,251,230,213,10,8,9,12,6,10,4,23,854,872,907,897,939,946,1002,994,0,0,0,†,†,14,10,8,†,†
TENNESSEE,SULLIVAN COUNTY,22220,22571,22434,22847,22501,11149,11078,11211,11197,11383,11434,11623,11484,10494,10387,10601,10547,10698,10838,10994,10887,31,41,33,41,33,36,30,35,172,174,172,179,164,157,145,149,541,445,391,355,342,328,293,253,732,787,815,822,809,774,721,694,19822,19824,20298,20347,20733,20977,21428,21240,12,12,15,†,†,333,182,88,†,†
PENNSYLVANIA,SULLIVAN COUNTY,625,668,672,745,777,322,334,318,319,342,332,368,388,308,307,312,306,324,338,371,389,0,0,0,0,0,0,0,0,6,5,4,2,1,1,1,1,6,5,5,7,5,4,4,7,11,10,9,9,8,5,7,7,606,620,612,607,652,660,727,762,0,0,0,†,†,1,1,0,†,†
SOUTH DAKOTA,SULLY COUNTY,278,307,309,306,315,121,125,133,133,139,125,164,165,103,111,103,95,108,112,142,150,9,13,9,10,10,8,9,13,0,0,0,0,0,0,0,0,2,2,1,2,3,3,4,4,1,2,4,3,6,5,2,2,208,219,222,213,228,221,291,296,0,0,0,†,†,4,0,0,†,†
WEST VIRGINIA,SUMMERS COUNTY,1548,1532,1567,1590,1607,811,813,807,798,726,754,816,806,758,751,744,750,676,689,774,801,0,0,0,0,0,0,1,1,2,2,2,4,6,3,2,5,11,11,11,11,10,8,11,9,39,38,38,38,54,57,63,64,1477,1481,1472,1479,1332,1375,1513,1528,0,0,1,0,†,40,32,27,16,†
UTAH,SUMMIT COUNTY,7131,6962,7129,6701,6676,3972,3863,3835,3320,3631,3759,3524,3544,3645,3531,3531,2987,3313,3359,3177,3132,10,16,21,10,15,16,8,8,88,84,85,96,98,95,71,68,1248,1162,1074,784,839,857,716,686,28,28,32,39,39,43,33,34,6095,5936,6000,5378,5953,6107,5873,5880,13,16,13,†,†,135,152,141,†,†
OHIO,SUMMIT COUNTY,78721,80151,82112,83451,84334,39079,39565,39952,39286,40412,40901,41669,42307,36943,37420,37915,37052,38028,38577,39001,39977,98,114,109,120,123,116,110,103,2423,2279,2144,2056,2068,1771,1653,1658,1586,1394,1177,859,883,830,758,700,15689,16030,16195,16403,16894,17144,17760,18037,52603,53711,54873,56900,58472,59617,60389,61786,37,30,26,†,†,3586,3427,3343,†,†
COLORADO,SUMMIT COUNTY,3089,3067,3060,2998,2917,1637,1633,1613,1599,1596,1573,1527,1508,1519,1518,1511,1515,1491,1505,1488,1409,7,14,9,3,4,3,5,4,31,33,38,54,44,54,49,46,1012,958,895,837,837,783,750,679,18,16,15,22,26,22,17,10,2008,2053,2090,2198,2176,2216,2194,2178,2,2,2,†,†,78,75,75,†,†
KANSAS,SUMNER COUNTY,3947,6014,6111,6205,4199,1764,2037,2055,2085,2156,2181,2192,2230,1737,1946,1998,1954,2019,2038,2115,2139,42,52,51,49,53,63,55,68,6,5,6,6,21,16,15,14,229,274,278,277,160,157,180,167,52,48,52,56,90,89,70,77,3029,3458,3510,3519,3851,3894,3987,4043,2,1,1,2,†,141,145,155,130,†
TENNESSEE,SUMNER COUNTY,27158,26738,26100,25667,25182,14706,14623,14445,14015,13807,13688,13616,13305,13742,13738,13462,13143,12931,12797,12524,12247,62,64,49,61,62,59,59,61,421,394,366,383,351,322,303,268,1562,1410,1304,1138,1091,1040,947,788,2676,2703,2673,2611,2585,2537,2603,2353,23421,23577,23344,22965,22649,22527,22228,22082,32,33,39,†,†,274,180,132,†,†
SOUTH CAROLINA,SUMTER COUNTY,17366,17566,‡,17971,17838,8587,8626,8660,8889,8972,9098,9124,8989,8270,8309,8400,8453,8576,8601,8847,8838,34,29,36,41,47,52,42,39,144,142,133,193,198,182,174,158,545,500,487,392,409,379,379,309,10358,10297,10374,10841,10943,11041,11165,11140,5367,5595,5640,5875,5951,6045,6211,6181,29,25,26,†,†,380,347,364,†,†
FLORIDA,SUMTER COUNTY,7555,7650,7521,7435,7416,4032,3938,3897,3732,3821,3769,3753,3855,3958,3848,3729,3635,3665,3603,3565,3561,17,20,20,23,19,12,17,17,117,119,107,107,105,82,64,46,1024,1015,989,918,849,819,779,687,1054,1020,1011,1086,1130,1146,1230,1300,5514,5384,5294,5233,5383,5313,5228,5366,6,6,4,†,†,258,222,201,†,†
